"id","user_id","account_id","transaction_type","montant","description","recurrence","detail","date_transaction","created_at","updated_at","last_duplicated_at"
"71","1","7","Dépense","500.00",,,,"2025-05-04 09:59:00","2025-05-04 07:59:58","2025-05-04 07:59:58",NULL
"72","1","6","Dépense","600.00",,,,"2025-05-01 10:00:00","2025-05-04 08:00:35","2025-05-04 08:00:35",NULL
"73","1","1","Revenu","600.00",,,,"2025-05-03 10:00:00","2025-05-04 08:01:01","2025-05-04 08:01:01",NULL
"74","1","7","Revenu","950.00",,,,"2025-04-29 10:01:00","2025-05-04 08:01:18","2025-05-04 08:01:18",NULL
"75","1","6","Dépense","95.00",,,,"2025-05-02 10:01:00","2025-05-04 08:01:44","2025-05-04 08:01:44",NULL
"86","1","14","Revenu","800.04","je le dis","Fixe",,"2025-05-12 23:55:00","2025-05-12 21:56:01","2025-05-12 21:56:01",NULL
"87","1","15","Dépense","49.98",,"Fixe",,"2025-05-05 23:56:00","2025-05-12 21:56:24","2025-05-12 21:56:24",NULL
"88","1","15","Revenu","55.00",,"Mensuel",,"2025-01-01 23:56:00","2025-05-12 21:56:46","2025-10-12 22:05:10","2025-10-12 22:05:10"
"89","1","15","Revenu","55.00","Duplication automatique (Mois +1)","Fixe",,"2025-02-01 23:56:00","2025-05-12 21:56:46","2025-05-12 21:56:46",NULL
"90","1","15","Revenu","55.00","Duplication automatique (Mois +2)","Fixe",,"2025-03-01 23:56:00","2025-05-12 21:56:46","2025-05-12 21:56:46",NULL
"91","1","15","Revenu","55.00","Duplication automatique (Mois +3)","Fixe",,"2025-04-01 23:56:00","2025-05-12 21:56:46","2025-05-12 21:56:46",NULL
"92","1","15","Revenu","55.00","Duplication automatique (Mois +4)","Fixe",,"2025-05-01 23:56:00","2025-05-12 21:56:46","2025-05-12 21:56:46",NULL
"93","1","13","Revenu","7999.99",,"Fixe",,"2025-05-11 23:57:00","2025-05-12 21:57:20","2025-05-12 21:57:20",NULL
"94","1","15","Dépense","755.00",,"Mensuel",,"2024-12-06 23:57:00","2025-05-12 21:57:45","2025-10-12 22:05:10","2025-10-12 22:05:10"
"95","1","15","Dépense","755.00","Duplication automatique (Mois +1)","Fixe",,"2025-01-06 23:57:00","2025-05-12 21:57:47","2025-05-12 21:57:47",NULL
"96","1","15","Dépense","755.00","Duplication automatique (Mois +2)","Fixe",,"2025-02-06 23:57:00","2025-05-12 21:57:47","2025-05-12 21:57:47",NULL
"97","1","15","Dépense","755.00","Duplication automatique (Mois +3)","Fixe",,"2025-03-06 23:57:00","2025-05-12 21:57:47","2025-05-12 21:57:47",NULL
"98","1","15","Dépense","755.00","Duplication automatique (Mois +4)","Fixe",,"2025-04-06 23:57:00","2025-05-12 21:57:47","2025-05-12 21:57:47",NULL
"99","1","15","Dépense","755.00","Duplication automatique (Mois +5)","Fixe",,"2025-05-06 23:57:00","2025-05-12 21:57:47","2025-05-12 21:57:47",NULL
"100","1","13","Dépense","500.00",,"Mensuel",,"2025-04-13 00:00:00","2025-05-12 21:58:45","2025-10-13 00:11:13","2025-10-13 00:11:13"
"101","1","14","Revenu","90000.00",,"Mensuel",,"2025-01-02 00:01:00","2025-05-12 22:02:36","2025-10-12 22:22:23","2025-10-12 22:22:23"
